ID,Player,Location,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0
5093,MA Carberry (ENG),A,2013-2013,1,1,0,10,10,10,13,76.92,0,0,0
5094,MA Carberry (ENG),T,2013-2014,6,6,0,114,63,19,180,63.33,0,1,0
5095,MA Ealham (ENG),H,1996-2001,23,11,1,136,40,13.6,209,65.07,0,0,2
5096,MA Ealham (ENG),A,1998-2001,23,20,2,399,45,22.16,599,66.61,0,0,1
5097,MA Ealham (ENG),N,1997-2000,18,14,1,181,44,13.92,284,63.73,0,0,1
5098,MA Ealham (ENG),T,1996-2001,64,45,4,716,45,17.46,1092,65.56,0,0,4
5099,MA Holding (WI),H,1981-1986,14,4,1,12,9,4,28,42.85,0,0,0
5100,MA Holding (WI),A,1976-1987,51,24,9,185,64,12.33,211,87.67,0,2,7
5101,MA Holding (WI),N,1979-1987,37,14,1,85,20,6.53,138,61.59,0,0,2
5102,MA Holding (WI),T,1976-1987,102,42,11,282,64,9.09,377,74.8,0,2,9
5103,MA Jones (SCOT),H,2022-2022,4,4,0,73,36,18.25,129,56.58,0,0,0
5104,MA Jones (SCOT),A,2018-2019,3,3,0,30,15,10,48,62.5,0,0,0
5105,MA Jones (SCOT),N,2018-2019,5,5,0,251,87,50.2,353,71.1,0,3,0
5106,MA Jones (SCOT),T,2018-2022,12,12,0,354,87,29.5,530,66.79,0,3,0
5107,MA Leask (SCOT),H,2014-2022,21,19,4,397,85,26.46,332,119.57,0,2,2
5108,MA Leask (SCOT),A,2014-2023,18,15,3,306,107*,25.5,290,105.51,1,1,2
5109,MA Leask (SCOT),N,2014-2023,23,17,3,368,59,26.28,329,111.85,0,3,0
5110,MA Leask (SCOT),T,2014-2023,62,51,10,1071,107*,26.12,951,112.61,1,6,4
5111,MA Lynch (ENG),H,1988-1988,3,3,0,8,6,2.66,32,25,0,0,1
5112,MA Lynch (ENG),T,1988-1988,3,3,0,8,6,2.66,32,25,0,0,1
5113,MA Meman (ZIM),A,1987-1987,1,1,0,19,19,19,22,86.36,0,0,0
5114,MA Meman (ZIM),T,1987-1987,1,1,0,19,19,19,22,86.36,0,0,0
5115,MA Ouma (KENYA),H,2006-2010,32,31,3,585,57*,20.89,886,66.02,0,2,3
5116,MA Ouma (KENYA),A,2006-2013,26,24,1,431,61,18.73,764,56.41,0,3,1
5117,MA Ouma (KENYA),N,2004-2014,22,22,1,485,58,23.09,875,55.42,0,2,2
5118,MA Ouma (KENYA),T,2004-2014,80,77,5,1501,61,20.84,2525,59.44,0,7,6
5119,MA Parker (SCOT),H,2010-2010,3,2,0,19,17,9.5,30,63.33,0,0,0
5120,MA Parker (SCOT),A,2010-2010,2,2,1,29,22,29,36,80.55,0,0,0
5121,MA Parker (SCOT),N,2010-2010,5,4,1,11,7,3.66,38,28.94,0,0,0
5122,MA Parker (SCOT),T,2010-2010,10,8,2,59,22,9.83,104,56.73,0,0,0
5123,MA Small (WI),H,1984-1984,2,-,-,-,-,-,-,-,-,-,-
5124,MA Small (WI),T,1984-1984,2,-,-,-,-,-,-,-,-,-,-
5125,MA Starc (AUS),H,2010-2022,53,27,12,208,52*,13.86,223,93.27,0,1,4
5126,MA Starc (AUS),A,2010-2023,37,24,6,193,29*,10.72,250,77.2,0,0,5
5127,MA Starc (AUS),N,2012-2019,20,11,5,82,29*,13.66,93,88.17,0,0,1
5128,MA Starc (AUS),T,2010-2023,110,62,23,483,52*,12.38,566,85.33,0,1,10
5129,MA Suji (KENYA),H,1996-2003,19,17,9,69,14,8.62,128,53.9,0,0,2
5130,MA Suji (KENYA),A,1996-2006,18,15,3,75,16*,6.25,177,42.37,0,0,4
5131,MA Suji (KENYA),N,1996-2004,27,20,10,103,15*,10.3,221,46.6,0,0,3
5132,MA Suji (KENYA),T,1996-2006,64,52,22,247,16*,8.23,526,46.95,0,0,9
5133,MA Taylor (AUS),H,1989-1997,51,50,0,1543,90,30.86,2625,58.78,0,11,3
5134,MA Taylor (AUS),A,1990-1997,37,37,0,1321,105,35.7,2195,60.18,1,11,0
5135,MA Taylor (AUS),N,1990-1996,25,23,1,650,74,29.54,1088,59.74,0,6,1
5136,MA Taylor (AUS),T,1989-1997,113,110,1,3514,105,32.23,5908,59.47,1,28,4
5137,MA Vermeulen (ZIM),H,2002-2009,30,30,3,771,92,28.55,1018,75.73,0,6,3
5138,MA Vermeulen (ZIM),A,2004-2009,8,8,0,35,10,4.37,76,46.05,0,0,1
5139,MA Vermeulen (ZIM),N,2000-2004,5,5,1,62,22,15.5,133,46.61,0,0,0
5140,MA Vermeulen (ZIM),T,2000-2009,43,43,4,868,92,22.25,1227,70.74,0,6,4
5141,MA Wood (ENG),H,2015-2021,40,11,6,48,13,9.6,50,96,0,0,3
5142,MA Wood (ENG),A,2015-2023,19,8,5,24,14,8,41,58.53,0,0,0
5143,MA Wood (ENG),T,2015-2023,59,19,11,72,14,9,91,79.12,0,0,3
5144,Mafizur Rahman (BAN),A,1997-1997,2,2,0,22,16,11,59,37.28,0,0,0
5145,Mafizur Rahman (BAN),N,1997-1997,2,2,1,31,16,31,45,68.88,0,0,0
5146,Mafizur Rahman (BAN),T,1997-1997,4,4,1,53,16,17.66,104,50.96,0,0,0
5147,Mahbubul Alam (BAN),H,2009-2009,2,1,0,22,22,22,28,78.57,0,0,0
5148,Mahbubul Alam (BAN),A,2009-2009,3,1,0,59,59,59,43,137.2,0,1,0
5149,Mahbubul Alam (BAN),T,2009-2009,5,2,0,81,59,40.5,71,114.08,0,1,0
5150,Mahbubur Rahman (BAN),H,1999-1999,1,1,0,3,3,3,8,37.5,0,0,0
5151,Mahbubur Rahman (BAN),T,1999-1999,1,1,0,3,3,3,8,37.5,0,0,0
5152,Mahedi Hasan (BAN),A,2021-2021,3,3,0,24,14,8,33,72.72,0,0,0
5153,Mahedi Hasan (BAN),T,2021-2021,3,3,0,24,14,8,33,72.72,0,0,0
5154,Mahmood Hamid (PAK),N,1995-1995,1,1,0,1,1,1,6,16.66,0,0,0
5155,Mahmood Hamid (PAK),T,1995-1995,1,1,0,1,1,1,6,16.66,0,0,0
5156,Mahmudullah (BAN),H,2008-2023,108,90,23,2298,82*,34.29,2992,76.8,0,16,6
5157,Mahmudullah (BAN),A,2007-2022,78,70,18,1694,128*,32.57,2302,73.58,1,7,3
5158,Mahmudullah (BAN),N,2008-2019,32,30,9,958,103,45.61,1204,79.56,2,4,0
5159,Mahmudullah (BAN),T,2007-2023,218,190,50,4950,128*,35.35,6498,76.17,3,27,9
5160,Majid Khan (PAK),H,1976-1980,6,6,0,173,50,28.83,225,76.88,0,1,0
5161,Majid Khan (PAK),A,1973-1982,8,8,1,195,109,27.85,241,80.91,1,0,1
5162,Majid Khan (PAK),N,1975-1982,9,8,0,418,84,52.25,586,71.33,0,6,0
5163,Majid Khan (PAK),T,1973-1982,23,22,1,786,109,37.42,1052,74.71,1,7,1
5164,Maninder Singh (IND),H,1986-1993,34,11,9,27,8*,13.5,55,49.09,0,0,1
5165,Maninder Singh (IND),A,1983-1989,10,3,2,6,4,6,11,54.54,0,0,0
5166,Maninder Singh (IND),N,1986-1988,15,4,3,16,7,16,24,66.66,0,0,0
5167,Maninder Singh (IND),T,1983-1993,59,18,14,49,8*,12.25,90,54.44,0,0,1
5168,Manjural Islam (BAN),H,1999-2003,14,8,6,16,5*,8,45,35.55,0,0,1
5169,Manjural Islam (BAN),A,1999-2003,10,7,3,16,13,4,42,38.09,0,0,2
5170,Manjural Islam (BAN),N,1999-2003,10,7,4,21,10,7,47,44.68,0,0,1
5171,Manjural Islam (BAN),T,1999-2003,34,22,13,53,13,5.88,134,39.55,0,0,4
5172,Manjural Islam Rana (BAN),H,2003-2006,12,10,3,139,23,19.85,297,46.8,0,0,0
5173,Manjural Islam Rana (BAN),A,2004-2005,9,7,2,168,63,33.6,295,56.94,0,1,0
5174,Manjural Islam Rana (BAN),N,2004-2005,4,4,0,24,21,6,76,31.57,0,0,1
5175,Manjural Islam Rana (BAN),T,2003-2006,25,21,5,331,63,20.68,668,49.55,0,1,1
5176,Mansoor Akhtar (PAK),H,1980-1989,18,12,1,221,33,20.09,382,57.85,0,0,0
5177,Mansoor Akhtar (PAK),A,1981-1990,13,13,0,256,47,19.69,418,61.24,0,0,1
5178,Mansoor Akhtar (PAK),N,1981-1989,10,10,0,116,32,11.6,348,33.33,0,0,0
5179,Mansoor Akhtar (PAK),T,1980-1990,41,35,1,593,47,17.44,1148,51.65,0,0,1
5180,Mansoor Amjad (PAK),H,2008-2008,1,1,0,5,5,5,10,50,0,0,0
5181,Mansoor Amjad (PAK),T,2008-2008,1,1,0,5,5,5,10,50,0,0,0
5182,Mansoor Rana (PAK),N,1990-1990,2,2,0,15,10,7.5,24,62.5,0,0,0
5183,Mansoor Rana (PAK),T,1990-1990,2,2,0,15,10,7.5,24,62.5,0,0,0
5184,Manzoor Akhtar (PAK),A,1998-1998,1,-,-,-,-,-,-,-,-,-,-
5185,Manzoor Akhtar (PAK),N,1997-1998,6,4,0,97,44,24.25,147,65.98,0,0,0
5186,Manzoor Akhtar (PAK),T,1997-1998,7,4,0,97,44,24.25,147,65.98,0,0,0
5187,Manzoor Elahi (PAK),H,1984-1990,17,14,3,259,39*,23.54,283,91.51,0,0,0
5188,Manzoor Elahi (PAK),A,1986-1995,17,15,5,247,48,24.7,269,91.82,0,0,1
5189,Manzoor Elahi (PAK),N,1985-1994,20,17,5,235,50*,19.58,275,85.45,0,1,0
5190,Manzoor Elahi (PAK),T,1984-1995,54,46,13,741,50*,22.45,827,89.6,0,1,1
5191,Maqsood Rana (PAK),A,1990-1990,1,1,0,5,5,5,13,38.46,0,0,0
5192,Maqsood Rana (PAK),T,1990-1990,1,1,0,5,5,5,13,38.46,0,0,0
5193,MAR Samarasekera (SL),H,1986-1986,1,1,0,5,5,5,13,38.46,0,0,0
5194,MAR Samarasekera (SL),A,1988-1992,13,13,1,287,76,23.91,436,65.82,0,1,1
5195,MAR Samarasekera (SL),N,1983-1994,25,25,1,552,75,23,758,72.82,0,3,1
5196,MAR Samarasekera (SL),T,1983-1994,39,39,2,844,76,22.81,1207,69.92,0,4,2
5197,Mashrafe Mortaza (Asia/BAN),N,2003-2019,52,36,5,370,34*,11.93,454,81.49,0,0,5
5198,Mashrafe Mortaza (Asia/BAN),T,2001-2020,220,158,28,1787,51*,13.74,2041,87.55,0,1,15
5199,Mashrafe Mortaza (BAN),H,2001-2020,103,68,11,798,51*,14,808,98.76,0,1,6
5200,Mashrafe Mortaza (BAN),A,2003-2019,65,54,12,619,43*,14.73,779,79.46,0,0,4
5201,Masood Iqbal (PAK),H,1984-1984,1,1,0,2,2,2,2,100,0,0,0
5202,Masood Iqbal (PAK),T,1984-1984,1,1,0,2,2,2,2,100,0,0,0
5203,Matiullah Khan (UAE),N,2023-2023,1,1,1,0,0*,-,0,-,0,0,0
5204,Matiullah Khan (UAE),T,2023-2023,1,1,1,0,0*,-,0,-,0,0,0
5205,MAWR Madurasinghe (SL),A,1988-1992,7,3,2,10,6*,10,42,23.8,0,0,0
5206,MAWR Madurasinghe (SL),N,1988-1990,5,3,2,11,8*,11,20,55,0,0,0
5207,MAWR Madurasinghe (SL),T,1988-1992,12,6,4,21,8*,10.5,62,33.87,0,0,0
5208,Mazhar Hussain (UAE),H,1994-1994,2,2,0,80,70,40,145,55.17,0,1,0
5209,Mazhar Hussain (UAE),A,1996-1996,1,1,0,7,7,7,21,33.33,0,0,0
5210,Mazhar Hussain (UAE),N,1996-1996,4,4,0,92,33,23,168,54.76,0,0,0
5211,Mazhar Hussain (UAE),T,1994-1996,7,7,0,179,70,25.57,334,53.59,0,1,0
5212,Mazharul Haque (BAN),N,2002-2002,1,1,0,3,3,3,18,16.66,0,0,0
5213,Mazharul Haque (BAN),T,2002-2002,1,1,0,3,3,3,18,16.66,0,0,0
5214,MB Loye (ENG),A,2007-2007,5,5,0,119,45,23.8,153,77.77,0,0,1
5215,MB Loye (ENG),N,2007-2007,2,2,0,23,15,11.5,31,74.19,0,0,0
5216,MB Loye (ENG),T,2007-2007,7,7,0,142,45,20.28,184,77.17,0,0,1
5217,MB Owens (NZ),A,1992-1992,1,1,0,0,0,0,3,0,0,0,1
5218,MB Owens (NZ),T,1992-1992,1,1,0,0,0,0,3,0,0,0,1
5219,MBS Jonkman (NED),H,2010-2010,6,3,2,18,16,18,27,66.66,0,0,0
5220,MBS Jonkman (NED),A,2007-2010,3,2,0,10,8,5,12,83.33,0,0,0
5221,MBS Jonkman (NED),N,2006-2010,7,4,2,31,15,15.5,40,77.5,0,0,1
5222,MBS Jonkman (NED),T,2006-2010,16,9,4,59,16,11.8,79,74.68,0,0,1
5223,MC Cowdrey (ENG),A,1971-1971,1,1,0,1,1,1,5,20,0,0,0
5224,MC Cowdrey (ENG),T,1971-1971,1,1,0,1,1,1,5,20,0,0,0
5225,MC Henriques (AUS),H,2013-2020,6,6,2,42,22,10.5,65,64.61,0,0,0
5226,MC Henriques (AUS),A,2009-2021,8,8,0,57,17,7.12,113,50.44,0,0,0
5227,MC Henriques (AUS),N,2017-2017,2,1,0,18,18,18,14,128.57,0,0,0
5228,MC Henriques (AUS),T,2009-2021,16,15,2,117,22,9,192,60.93,0,0,0
5229,MC Mendis (SL),A,1995-1995,1,1,1,3,3*,-,2,150,0,0,0
5230,MC Mendis (SL),T,1995-1995,1,1,1,3,3*,-,2,150,0,0,0
5231,MC Snedden (NZ),H,1981-1990,29,14,4,92,31*,9.2,131,70.22,0,0,2
5232,MC Snedden (NZ),A,1980-1988,35,20,8,218,35,18.16,331,65.86,0,0,0
5233,MC Snedden (NZ),N,1980-1990,29,20,7,225,64,17.3,381,59.05,0,1,2
5234,MC Snedden (NZ),T,1980-1990,93,54,19,535,64,15.28,843,63.46,0,1,4
5235,MC Sorensen (IRE),H,2013-2016,8,6,2,102,31,25.5,133,76.69,0,0,0
5236,MC Sorensen (IRE),A,2014-2014,1,1,0,1,1,1,3,33.33,0,0,0
5237,MC Sorensen (IRE),N,2015-2015,4,1,0,22,22,22,19,115.78,0,0,0
5238,MC Sorensen (IRE),T,2013-2016,13,8,2,125,31,20.83,155,80.64,0,0,0
5239,MD Bailey (NZ),N,1998-1998,1,-,-,-,-,-,-,-,-,-,-
5240,MD Bailey (NZ),T,1998-1998,1,-,-,-,-,-,-,-,-,-,-
5241,MD Bates (NZ),H,2012-2012,2,1,0,13,13,13,10,130,0,0,0
5242,MD Bates (NZ),T,2012-2012,2,1,0,13,13,13,10,130,0,0,0
5243,MD Bell (NZ),H,1999-1999,1,1,0,37,37,37,76,48.68,0,0,0
5244,MD Bell (NZ),N,1998-2001,6,6,0,96,66,16,192,50,0,1,0
5245,MD Bell (NZ),T,1998-2001,7,7,0,133,66,19,268,49.62,0,1,0
5246,MD Crowe (NZ),H,1982-1995,57,56,14,1884,105*,44.85,2622,71.85,3,12,1
5247,MD Crowe (NZ),A,1983-1995,53,53,4,1641,107*,33.48,2228,73.65,1,11,1
5248,MD Crowe (NZ),N,1983-1994,33,31,0,1179,83,38.03,1626,72.5,0,11,1
5249,MD Crowe (NZ),T,1982-1995,143,140,18,4704,107*,38.55,6476,72.63,4,34,3
5250,MD Dai (PNG),H,2017-2017,2,2,1,88,63*,88,105,83.8,0,1,0
5251,MD Dai (PNG),A,2016-2017,6,6,1,155,76*,31,185,83.78,0,1,0
5252,MD Dai (PNG),N,2014-2018,10,10,0,211,60,21.1,295,71.52,0,1,1
5253,MD Dai (PNG),T,2014-2018,18,18,2,454,76*,28.37,585,77.6,0,3,1
5254,MD du Preez (NAM),H,2021-2023,3,3,0,14,5,4.66,44,31.81,0,0,0
5255,MD du Preez (NAM),T,2021-2023,3,3,0,14,5,4.66,44,31.81,0,0,0
5256,MD Gunathilaka (SL),H,2015-2022,17,17,0,559,116,32.88,683,81.84,1,4,1
5257,MD Gunathilaka (SL),A,2015-2021,28,27,1,953,133,36.65,1069,89.14,1,6,0
5258,MD Gunathilaka (SL),N,2017-2017,2,2,0,89,76,44.5,92,96.73,0,1,0
5259,MD Gunathilaka (SL),T,2015-2022,47,46,1,1601,133,35.57,1844,86.82,2,11,1
5260,MD Marshall (WI),H,1983-1991,18,7,0,48,19,6.85,59,81.35,0,0,1
5261,MD Marshall (WI),A,1980-1992,67,46,12,514,66,15.11,616,83.44,0,1,2
5262,MD Marshall (WI),N,1981-1992,51,30,7,393,56*,17.08,571,68.82,0,1,2
5263,MD Marshall (WI),T,1980-1992,136,83,19,955,66,14.92,1246,76.64,0,2,5
5264,MD Moxon (ENG),A,1985-1988,4,4,0,112,70,28,202,55.44,0,1,0
5265,MD Moxon (ENG),N,1985-1985,4,4,0,62,48,15.5,123,50.4,0,0,1
5266,MD Moxon (ENG),T,1985-1988,8,8,0,174,70,21.75,325,53.53,0,1,1
5267,MD Patel (USA),H,2019-2022,12,12,1,513,130,46.63,621,82.6,1,2,1
5268,MD Patel (USA),A,2019-2023,13,13,0,233,56,17.92,319,73.04,0,2,2
5269,MD Patel (USA),N,2019-2023,18,18,2,624,100,39,806,77.41,1,5,3
5270,MD Patel (USA),T,2019-2023,43,43,3,1370,130,34.25,1746,78.46,2,9,6
5271,MD Shanaka (SL),H,2016-2022,26,24,1,577,102,25.08,575,100.34,1,2,2
5272,MD Shanaka (SL),A,2016-2023,22,20,3,514,108*,30.23,565,90.97,1,1,1
5273,MD Shanaka (SL),N,2018-2018,2,2,0,7,7,3.5,24,29.16,0,0,1
5274,MD Shanaka (SL),T,2016-2023,50,46,4,1098,108*,26.14,1164,94.32,2,3,4
5275,MD Wettimuny (SL),A,1983-1983,1,1,0,2,2,2,11,18.18,0,0,0
5276,MD Wettimuny (SL),T,1983-1983,1,1,0,2,2,2,11,18.18,0,0,0
5277,MDJ Walker (NZ),A,2003-2003,3,1,0,10,10,10,6,166.66,0,0,0
5278,MDJ Walker (NZ),T,2003-2003,3,1,0,10,10,10,6,166.66,0,0,0
5279,MDK Perera (SL),H,2007-2017,9,8,0,109,30,13.62,119,91.59,0,0,0
5280,MDK Perera (SL),A,2008-2008,2,2,0,6,5,3,23,26.08,0,0,0
5281,MDK Perera (SL),N,2008-2018,2,2,0,37,29,18.5,57,64.91,0,0,0
5282,MDK Perera (SL),T,2007-2018,13,12,0,152,30,12.66,199,76.38,0,0,0
5283,MDKJ Perera (SL),H,2013-2020,38,37,1,1259,116,34.97,1276,98.66,2,8,4
5284,MDKJ Perera (SL),A,2013-2021,39,36,2,950,135,27.94,1117,85.04,4,1,5
5285,MDKJ Perera (SL),N,2013-2019,30,29,2,862,80,31.92,935,92.19,0,6,1
5286,MDKJ Perera (SL),T,2013-2021,107,102,5,3071,135,31.65,3328,92.27,6,15,10
5287,ME Sanuth (OMA),H,2020-2020,2,2,0,46,40,23,39,117.94,0,0,0
5288,ME Sanuth (OMA),A,2020-2020,1,-,-,-,-,-,-,-,-,-,-
5289,ME Sanuth (OMA),T,2020-2020,3,2,0,46,40,23,39,117.94,0,0,0
5290,ME Trescothick (ENG),H,2000-2006,60,60,6,2423,137,44.87,2844,85.19,8,12,7
5291,ME Trescothick (ENG),A,2000-2006,50,49,0,1474,130,30.08,1759,83.79,3,7,5
5292,ME Trescothick (ENG),N,2000-2003,13,13,0,438,119,33.69,484,90.49,1,2,1
5293,ME Trescothick (ENG),T,2000-2006,123,122,6,4335,137,37.37,5087,85.21,12,21,13
5294,ME Waugh (AUS),H,1988-2002,119,113,10,3827,173,37.15,5110,74.89,8,22,6
5295,ME Waugh (AUS),A,1991-2001,82,80,6,3059,133*,41.33,3884,78.75,7,19,7
5296,ME Waugh (AUS),N,1994-2001,43,43,4,1614,130,41.38,2059,78.38,3,9,3
5297,ME Waugh (AUS),T,1988-2002,244,236,20,8500,173,39.35,11053,76.9,18,50,16
5298,Mehidy Hasan Miraz (BAN),H,2018-2023,25,15,4,275,100*,25,342,80.4,1,1,2
5299,Mehidy Hasan Miraz (BAN),A,2017-2022,29,18,2,345,51,21.56,443,77.87,0,1,1
5300,Mehidy Hasan Miraz (BAN),N,2017-2019,17,12,3,155,42,17.22,212,73.11,0,0,0
5301,Mehidy Hasan Miraz (BAN),T,2017-2023,71,45,9,775,100*,21.52,997,77.73,1,2,3
5302,Mehmood Quaraishy (EAf),A,1975-1975,1,1,0,19,19,19,41,46.34,0,0,0
5303,Mehmood Quaraishy (EAf),N,1975-1975,2,2,1,22,16*,22,113,19.46,0,0,0
5304,Mehmood Quaraishy (EAf),T,1975-1975,3,3,1,41,19,20.5,154,26.62,0,0,0
5305,Mehrab Hossain (BAN),H,1999-2003,10,10,0,299,101,29.9,433,69.05,1,1,2
5306,Mehrab Hossain (BAN),A,1998-2001,4,4,0,33,13,8.25,80,41.25,0,0,0
5307,Mehrab Hossain (BAN),N,1999-1999,4,4,0,117,64,29.25,250,46.8,0,1,0
5308,Mehrab Hossain (BAN),T,1998-2003,18,18,0,449,101,24.94,763,58.84,1,2,2
5309,Mehrab Hossain jnr (BAN),H,2006-2009,10,10,0,233,54,23.3,533,43.71,0,1,0
5310,Mehrab Hossain jnr (BAN),A,2007-2009,7,6,0,43,25,7.16,109,39.44,0,0,1
5311,Mehrab Hossain jnr (BAN),N,2006-2006,1,-,-,-,-,-,-,-,-,-,-
5312,Mehrab Hossain jnr (BAN),T,2006-2009,18,16,0,276,54,17.25,642,42.99,0,1,1
5313,MEK Hussey (AUS),H,2004-2012,74,65,20,2115,85,47,2458,86.04,0,15,2
5314,MEK Hussey (AUS),A,2005-2012,79,70,19,2592,108,50.82,2946,87.98,2,19,1
5315,MEK Hussey (AUS),N,2005-2012,32,22,5,735,109*,43.23,839,87.6,1,5,0
5316,MEK Hussey (AUS),T,2004-2012,185,157,44,5442,109*,48.15,6243,87.16,3,39,3
5317,MF Kent (AUS),H,1981-1981,3,3,1,49,33,24.5,59,83.05,0,0,0
5318,MF Kent (AUS),A,1981-1981,2,2,0,29,28,14.5,74,39.18,0,0,0
5319,MF Kent (AUS),T,1981-1981,5,5,1,78,33,19.5,133,58.64,0,0,0
5320,MF Maharoof (SL),H,2004-2010,33,21,5,269,35,16.81,303,88.77,0,0,0
5321,MF Maharoof (SL),A,2004-2016,53,39,9,637,58*,21.23,751,84.82,0,1,2
5322,MF Maharoof (SL),N,2004-2012,23,15,4,207,69*,18.81,240,86.25,0,1,1
5323,MF Maharoof (SL),T,2004-2016,109,75,18,1113,69*,19.52,1294,86.01,0,2,3
5324,MF Malone (AUS),H,1982-1982,8,5,3,31,15*,15.5,54,57.4,0,0,0
5325,MF Malone (AUS),A,1977-1977,2,2,0,5,4,2.5,9,55.55,0,0,0
5326,MF Malone (AUS),T,1977-1982,10,7,3,36,15*,9,63,57.14,0,0,0
5327,MG Bevan (AUS),H,1994-2004,93,80,29,2849,106,55.86,3948,72.16,2,19,1
5328,MG Bevan (AUS),A,1994-2004,80,71,23,2486,108*,51.79,3227,77.03,3,14,3
5329,MG Bevan (AUS),N,1994-2003,59,45,15,1577,101*,52.56,2145,73.51,1,13,1
5330,MG Bevan (AUS),T,1994-2004,232,196,67,6912,108*,53.58,9320,74.16,6,46,5
5331,MG Bracewell (NZ),H,2022-2022,4,2,0,4,3,2,7,57.14,0,0,0
5332,MG Bracewell (NZ),A,2022-2023,15,14,4,506,140,50.6,423,119.62,2,0,0
5333,MG Bracewell (NZ),T,2022-2023,19,16,4,510,140,42.5,430,118.6,2,0,0
5334,MG Burgess (NZ),H,1973-1976,5,4,0,91,47,22.75,123,73.98,0,0,0
5335,MG Burgess (NZ),A,1973-1981,13,11,0,119,29,10.81,199,59.79,0,0,1
5336,MG Burgess (NZ),N,1979-1981,8,5,0,126,42,25.2,193,65.28,0,0,0
5337,MG Burgess (NZ),T,1973-1981,26,20,0,336,47,16.8,515,65.24,0,0,1
5338,MG Burmester (ZIM),H,1992-1995,4,4,0,92,39,23,170,54.11,0,0,0
5339,MG Burmester (ZIM),A,1992-1992,2,2,1,16,12,16,27,59.25,0,0,0
5340,MG Burmester (ZIM),N,1992-1992,2,1,0,1,1,1,10,10,0,0,0
5341,MG Burmester (ZIM),T,1992-1995,8,7,1,109,39,18.16,207,52.65,0,0,0
5342,MG Erasmus (NAM),H,2019-2023,14,13,3,616,125,61.6,771,79.89,1,4,0
5343,MG Erasmus (NAM),A,2019-2023,13,13,0,339,68,26.07,465,72.9,0,3,2
5344,MG Erasmus (NAM),N,2019-2023,13,13,1,638,121*,53.16,757,84.28,1,5,1
5345,MG Erasmus (NAM),T,2019-2023,40,39,4,1593,125,45.51,1993,79.92,2,12,3
5346,MG Hughes (AUS),H,1988-1992,16,6,3,25,13,8.33,58,43.1,0,0,1
5347,MG Hughes (AUS),A,1989-1993,11,6,2,45,20,11.25,43,104.65,0,0,1
5348,MG Hughes (AUS),N,1989-1990,6,5,3,30,10*,15,33,90.9,0,0,1
5349,MG Hughes (AUS),T,1988-1993,33,17,8,100,20,11.11,134,74.62,0,0,3
5350,MG Johnson (AUS),H,2007-2015,59,35,10,340,57,13.6,399,85.21,0,1,4
5351,MG Johnson (AUS),A,2005-2015,69,39,16,423,43*,18.39,440,96.13,0,0,1
5352,MG Johnson (AUS),N,2006-2014,25,17,6,188,73*,17.09,148,127.02,0,1,1
5353,MG Johnson (AUS),T,2005-2015,153,91,32,951,73*,16.11,987,96.35,0,2,6
5354,MG Neser (AUS),A,2018-2018,2,2,0,8,6,4,16,50,0,0,0
5355,MG Neser (AUS),T,2018-2018,2,2,0,8,6,4,16,50,0,0,0
5356,MG Vandort (SL),A,2006-2006,1,1,0,48,48,48,117,41.02,0,0,0
5357,MG Vandort (SL),T,2006-2006,1,1,0,48,48,48,117,41.02,0,0,0
5358,MH Cross (SCOT),H,2014-2022,25,21,0,579,85,27.57,795,72.83,0,4,1
5359,MH Cross (SCOT),A,2014-2023,23,23,1,563,107*,25.59,799,70.46,1,3,0
5360,MH Cross (SCOT),N,2014-2023,35,32,0,636,114,19.87,870,73.1,1,2,1
5361,MH Cross (SCOT),T,2014-2023,83,76,1,1778,114,23.7,2464,72.15,2,9,2
5362,MH Dekker (ZIM),H,1992-1994,6,6,1,202,79,40.4,379,53.29,0,2,0
5363,MH Dekker (ZIM),A,1993-1996,10,10,0,148,33,14.8,321,46.1,0,0,0
5364,MH Dekker (ZIM),N,1993-1996,7,6,1,29,8*,5.8,98,29.59,0,0,0
5365,MH Dekker (ZIM),T,1992-1996,23,22,2,379,79,18.95,798,47.49,0,2,0
5366,MH Denness (ENG),H,1973-1975,10,10,2,252,66,31.5,393,64.12,0,1,1
5367,MH Denness (ENG),A,1975-1975,2,1,0,12,12,12,24,50,0,0,0
5368,MH Denness (ENG),T,1973-1975,12,11,2,264,66,29.33,417,63.3,0,1,1
5369,MH Richardson (NZ),A,2002-2002,2,2,0,34,26,17,85,40,0,0,0
5370,MH Richardson (NZ),N,2002-2002,2,2,0,8,8,4,12,66.66,0,0,1
5371,MH Richardson (NZ),T,2002-2002,4,4,0,42,26,10.5,97,43.29,0,0,1
5372,MH Tissera (SL),N,1975-1975,3,3,0,78,52,26,147,53.06,0,1,0
5373,MH Tissera (SL),T,1975-1975,3,3,0,78,52,26,147,53.06,0,1,0
5374,MH Yardy (ENG),H,2006-2010,15,13,6,152,57,21.71,229,66.37,0,1,1
5375,MH Yardy (ENG),A,2006-2011,9,7,2,154,60*,30.8,182,84.61,0,1,0
5376,MH Yardy (ENG),N,2006-2011,4,4,0,20,10,5,61,32.78,0,0,0
5377,MH Yardy (ENG),T,2006-2011,28,24,8,326,60*,20.37,472,69.06,0,2,1
5378,MHN Walker (AUS),H,1975-1981,8,6,3,41,20,13.66,98,41.83,0,0,0
5379,MHN Walker (AUS),A,1974-1977,5,2,0,5,5,2.5,13,38.46,0,0,1
