ID,Player,Location,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0
7502,S Abrahams (SA),T,2000-2000,1,1,1,16,16*,-,26,61.53,0,0,0
7503,S Amarnath (IND),A,1978-1978,3,3,0,100,62,33.33,119,84.03,0,1,0
7504,S Amarnath (IND),T,1978-1978,3,3,0,100,62,33.33,119,84.03,0,1,0
7505,S Badrinath (IND),A,2008-2011,7,6,1,79,27*,15.8,172,45.93,0,0,0
7506,S Badrinath (IND),T,2008-2011,7,6,1,79,27*,15.8,172,45.93,0,0,0
7507,S Baksh (CAN),N,1979-1979,1,1,0,0,0,0,6,0,0,0,1
7508,S Baksh (CAN),T,1979-1979,1,1,0,0,0,0,6,0,0,0,1
7509,S Bau (PNG),H,2017-2022,6,6,0,123,70,20.5,233,52.78,0,1,0
7510,S Bau (PNG),A,2016-2023,19,19,1,412,74,22.88,580,71.03,0,2,3
7511,S Bau (PNG),N,2017-2023,32,32,2,554,81*,18.46,950,58.31,0,2,3
7512,S Bau (PNG),T,2016-2023,57,57,3,1089,81*,20.16,1763,61.76,0,5,6
7513,S Bhari (NEPAL),H,2020-2020,4,2,0,19,11,9.5,30,63.33,0,0,0
7514,S Bhari (NEPAL),A,2021-2022,3,2,2,3,2*,-,16,18.75,0,0,0
7515,S Bhari (NEPAL),N,2021-2022,4,3,3,2,2*,-,8,25,0,0,0
7516,S Bhari (NEPAL),T,2020-2022,11,7,5,24,11,12,54,44.44,0,0,0
7517,S Chanderpaul (WI),H,1996-2010,88,84,14,2926,112*,41.8,4070,71.89,5,20,2
7518,S Chanderpaul (WI),A,1994-2011,90,82,13,3220,150,46.66,4369,73.7,5,21,2
7519,S Chanderpaul (WI),N,1995-2011,90,85,13,2632,107*,36.55,3969,66.31,1,18,2
7520,S Chanderpaul (WI),T,1994-2011,268,251,40,8778,150,41.6,12408,70.74,11,59,6
7521,S Chattergoon (WI),H,2006-2008,5,4,1,109,54*,36.33,152,71.71,0,1,1
7522,S Chattergoon (WI),A,2008-2009,9,9,1,215,52,26.87,370,58.1,0,1,0
7523,S Chattergoon (WI),N,2008-2008,4,4,0,46,33,11.5,93,49.46,0,0,1
7524,S Chattergoon (WI),T,2006-2009,18,17,2,370,54*,24.66,615,60.16,0,2,2
7525,S Dhakal (NEPAL),A,2022-2022,4,4,3,2,1*,2,29,6.89,0,0,0
7526,S Dhakal (NEPAL),N,2022-2022,4,2,2,5,4*,-,12,41.66,0,0,0
7527,S Dhakal (NEPAL),T,2022-2022,8,6,5,7,4*,7,41,17.07,0,0,0
7528,S Dhamala (NEPAL),N,2022-2022,1,1,0,12,12,12,38,31.57,0,0,0
7529,S Dhamala (NEPAL),T,2022-2022,1,1,0,12,12,12,38,31.57,0,0,0
7530,S Dhaniram (CAN),H,2006-2009,11,9,0,213,79,23.66,274,77.73,0,2,1
7531,S Dhaniram (CAN),A,2007-2010,9,9,1,182,92,22.75,233,78.11,0,1,0
7532,S Dhaniram (CAN),N,2006-2010,24,23,3,520,63,26,619,84,0,3,1
7533,S Dhaniram (CAN),T,2006-2010,44,41,4,915,92,24.72,1126,81.26,0,6,2
7534,S Dhawan (IND),H,2010-2022,49,48,2,1890,143,41.08,2016,93.75,5,12,3
7535,S Dhawan (IND),A,2011-2022,87,85,7,3141,132*,40.26,3522,89.18,4,21,2
7536,S Dhawan (IND),N,2013-2019,31,31,1,1762,137,58.73,1898,92.83,8,6,0
7537,S Dhawan (IND),T,2010-2022,167,164,10,6793,143,44.11,7436,91.35,17,39,5
7538,S Dube (IND),H,2019-2019,1,1,0,9,9,9,6,150,0,0,0
7539,S Dube (IND),T,2019-2019,1,1,0,9,9,9,6,150,0,0,0
7540,S Elworthy (SA),H,1998-2002,10,2,2,22,14*,-,19,115.78,0,0,0
7541,S Elworthy (SA),A,1999-2002,12,5,3,35,18,17.5,64,54.68,0,0,0
7542,S Elworthy (SA),N,1998-2002,17,9,3,43,23,7.16,77,55.84,0,0,3
7543,S Elworthy (SA),T,1998-2002,39,16,8,100,23,12.5,160,62.5,0,0,3
7544,S Fouche (NAM),H,2023-2023,5,5,0,185,83,37,272,68.01,0,2,2
7545,S Fouche (NAM),A,2023-2023,1,1,0,14,14,14,27,51.85,0,0,0
7546,S Fouche (NAM),N,2023-2023,1,1,0,10,10,10,18,55.55,0,0,0
