ID,Player,Location,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0
220,Aamer Sohail (PAK),A,1992-1998,56,55,2,1647,87,31.07,2573,64.01,0,12,4
221,Aamer Sohail (PAK),N,1990-1999,71,71,2,2247,134,32.56,3475,64.66,4,13,4
222,Aamer Sohail (PAK),T,1990-2000,156,155,5,4780,134,31.86,7297,65.5,5,31,10
223,Aamer Sohail (PAK),BIS,1994-1998,17,17,1,335,55,20.93,493,67.95,0,1,2
224,Aamer Sohail (PAK),SENA,1992-1998,57,57,0,1759,114,30.85,2752,63.91,2,14,4
225,Aamer Yamin (PAK),A,2015-2018,4,3,2,95,62,95,96,98.95,0,1,0
226,Aamer Yamin (PAK),T,2015-2018,4,3,2,95,62,95,96,98.95,0,1,0
227,Aamer Yamin (PAK),SENA,2018-2018,1,1,1,32,32*,-,27,118.51,0,0,0
228,Aamir Kaleem (OMA),H,2022-2022,1,1,0,5,5,5,8,62.5,0,0,0
229,Aamir Kaleem (OMA),A,2019-2019,2,1,0,13,13,13,16,81.25,0,0,0
230,Aamir Kaleem (OMA),T,2019-2022,3,2,0,18,13,9,24,75,0,0,0
231,Aaqib Javed (PAK),H,1989-1998,30,4,0,51,21,12.75,69,73.91,0,0,0
232,Aaqib Javed (PAK),A,1988-1998,49,18,12,57,12*,9.5,102,55.88,0,0,3
233,Aaqib Javed (PAK),N,1988-1998,84,29,14,159,45*,10.6,285,55.78,0,0,4
234,Aaqib Javed (PAK),T,1988-1998,163,51,26,267,45*,10.68,456,58.55,0,0,7
235,Aaqib Javed (PAK),BIS,1989-1998,16,5,2,21,6*,7,32,65.62,0,0,1
236,Aaqib Javed (PAK),SENA,1988-1995,63,23,16,69,12*,9.85,157,43.94,0,0,3
237,Aarif Sheikh (NEPAL),H,2020-2023,14,10,1,246,52,27.33,367,67.02,0,1,0
238,Aarif Sheikh (NEPAL),A,2018-2023,16,15,2,262,63,20.15,438,59.81,0,1,4
239,Aarif Sheikh (NEPAL),N,2018-2023,12,11,2,290,66,32.22,488,59.42,0,3,0
240,Aarif Sheikh (NEPAL),T,2018-2023,42,36,5,798,66,25.74,1293,61.71,0,5,4
241,Aaron Jones (USA),H,2019-2022,12,12,0,475,97,39.58,689,68.94,0,3,0
242,Aaron Jones (USA),A,2019-2023,11,11,1,443,123*,44.3,541,81.88,1,2,0
243,Aaron Jones (USA),N,2019-2023,15,15,2,420,74,32.3,637,65.93,0,4,2
244,Aaron Jones (USA),T,2019-2023,38,38,3,1338,123*,38.22,1867,71.66,1,9,2
245,Aasif Sheikh (NEPAL),H,2022-2023,13,13,2,379,110,34.45,444,85.36,1,3,4
246,Aasif Sheikh (NEPAL),A,2021-2023,11,11,0,377,90,34.27,459,82.13,0,3,0
247,Aasif Sheikh (NEPAL),N,2021-2023,13,13,1,325,86*,27.08,474,68.56,0,2,0
248,Aasif Sheikh (NEPAL),T,2021-2023,37,37,3,1081,110,31.79,1377,78.5,1,8,4
249,AAW Gunawardena (SL),A,1994-1994,1,1,0,2,2,2,10,20,0,0,0
250,AAW Gunawardena (SL),T,1994-1994,1,1,0,2,2,2,10,20,0,0,0
251,AAW Gunawardena (SL),BIS,1994-1994,1,1,0,2,2,2,10,20,0,0,0
252,Aayan Afzal Khan (UAE),H,2023-2023,3,3,1,37,35*,18.5,58,63.79,0,0,1
253,Aayan Afzal Khan (UAE),A,2022-2023,7,6,1,119,54*,23.8,155,76.77,0,1,0
254,Aayan Afzal Khan (UAE),N,2023-2023,7,6,2,174,94*,43.5,195,89.23,0,1,2
255,Aayan Afzal Khan (UAE),T,2022-2023,17,15,4,330,94*,30,408,80.88,0,2,3
256,AB Agarkar (IND),H,1998-2007,69,39,11,553,95,19.75,556,99.46,0,2,1
257,AB Agarkar (IND),A,1998-2007,60,36,5,334,53,10.77,498,67.06,0,1,6
258,AB Agarkar (IND),N,1998-2007,62,38,10,382,47,13.64,520,73.46,0,0,3
259,AB Agarkar (IND),T,1998-2007,191,113,26,1269,95,14.58,1574,80.62,0,3,10
260,AB Agarkar (IND),BIS,1998-2007,90,49,12,694,95,18.75,735,94.42,0,2,2
261,AB Agarkar (IND),SENA,1999-2007,38,27,6,248,53,11.8,368,67.39,0,1,4
262,AB Barath (WI),H,2010-2012,8,8,0,231,50,28.87,379,60.94,0,1,0
263,AB Barath (WI),A,2011-2011,6,6,1,163,113,32.6,233,69.95,1,0,2
264,AB Barath (WI),T,2010-2012,14,14,1,394,113,30.3,612,64.37,1,1,2
265,AB Barath (WI),BIS,2011-2011,6,6,1,163,113,32.6,233,69.95,1,0,2
266,AB de Villiers (Afr/SA),N,2005-2017,53,51,5,2063,162*,44.84,2088,98.8,5,10,6
267,AB de Villiers (Afr/SA),T,2005-2018,228,218,39,9577,176,53.5,9473,101.09,25,53,7
268,AB de Villiers (Afr/SA),BIS,2005-2015,32,31,5,1618,134,62.23,1526,106.02,8,6,0
269,AB de Villiers (Afr/SA),SENA,2005-2018,144,137,27,6075,176,55.22,5899,102.98,11,39,2
270,AB de Villiers (SA),H,2005-2018,95,91,15,3994,176,52.55,3904,102.3,9,25,0
271,AB de Villiers (SA),A,2005-2017,80,76,19,3520,146,61.75,3481,101.12,11,18,1
272,AB Dinda (IND),H,2012-2013,3,2,0,3,3,1.5,6,50,0,0,1
273,AB Dinda (IND),A,2010-2012,7,2,0,18,16,9,29,62.06,0,0,0
274,AB Dinda (IND),N,2010-2012,3,1,0,0,0,0,1,0,0,0,1
275,AB Dinda (IND),T,2010-2013,13,5,0,21,16,4.2,36,58.33,0,0,2
276,AB Dinda (IND),BIS,2010-2013,9,3,0,5,3,1.66,18,27.77,0,0,1
277,Abdul Jabbar (CAN),A,2007-2007,2,2,0,59,44,29.5,82,71.95,0,0,0
278,Abdul Jabbar (CAN),T,2007-2007,2,2,0,59,44,29.5,82,71.95,0,0,0
279,Abdul Qadir (PAK),H,1984-1990,30,20,9,187,37,17,200,93.5,0,0,3
280,Abdul Qadir (PAK),A,1983-1990,30,21,3,233,41,12.94,305,76.39,0,0,2
281,Abdul Qadir (PAK),N,1983-1993,44,27,14,221,41*,17,344,64.24,0,0,1
282,Abdul Qadir (PAK),T,1983-1993,104,68,26,641,41*,15.26,849,75.5,0,0,6
283,Abdul Qadir (PAK),BIS,1986-1989,23,13,3,163,39,16.3,201,81.09,0,0,0
284,Abdul Qadir (PAK),SENA,1983-1990,27,24,11,207,41*,15.92,335,61.79,0,0,2
285,Abdul Razzaq (Asia/PAK),N,1997-2011,125,103,21,2087,109*,25.45,2773,75.26,1,9,9
286,Abdul Razzaq (Asia/PAK),T,1996-2011,265,228,57,5080,112,29.7,6252,81.25,3,23,14
287,Abdul Razzaq (Asia/PAK),SENA,1998-2011,88,79,11,1800,112,26.47,2548,70.64,1,10,4
288,Abdul Razzaq (PAK),H,1996-2006,48,41,17,1057,107*,44.04,910,116.15,1,5,1
289,Abdul Razzaq (PAK),A,1998-2011,92,84,19,1936,112,29.78,2569,75.36,1,9,4
290,Abdul Razzaq (PAK),BIS,1997-2011,52,46,14,856,88,26.75,1146,74.69,0,2,3
291,Abdul Rehman (UAE),N,2004-2004,1,1,0,1,1,1,13,7.69,0,0,0
